arrrr

86400 atoms
82080 bonds
0 angles

2 atom types
1 bond types
0 angle types

0.000000 30.000000 xlo xhi
0.000000 30.000000 ylo yhi
0.000000 30.000000 zlo zhi

Masses

1 1.000000
2 1.000000

Atoms

1 1 1  6.619839 7.890288 29.973466
2 1 1  7.539620 7.618582 0.290010
3 1 1  6.585932 7.204527 0.394881
4 1 1  5.817577 7.847403 0.333202
5 1 1  3.809529 7.944838 3.646403
6 1 1  2.901100 6.669681 6.116603
7 1 1  4.473834 5.854400 3.571665
8 1 1  4.888797 6.185060 3.636711
9 1 1  5.352326 5.934775 4.194814
10 1 1  6.965532 8.154641 4.748512
11 1 2  6.726478 9.250381 4.194098
12 1 2  7.895782 8.681361 3.475834
13 1 2  7.699399 7.559860 4.315774
14 1 2  8.454576 8.148825 5.692137
15 1 2  6.259807 5.584927 5.157638
16 1 2  7.792263 6.661911 6.060628
17 1 2  5.595299 6.537829 5.533276
18 1 2  4.973701 5.868982 5.506152
19 1 2  6.285968 5.174170 4.668561
20 1 2  5.426387 4.342020 5.323152
21 2 1  14.670427 14.476567 17.901649
22 2 1  15.302033 14.635662 17.983392
23 2 1  14.845308 13.288659 18.007343
24 2 1  13.935796 11.685042 19.837928
25 2 1  13.059330 13.073184 19.532913
26 2 1  11.790356 12.429362 20.558191
27 2 1  11.575484 12.654058 20.554821
28 2 1  11.874161 14.248037 19.703652
29 2 1  13.916524 14.833651 21.237768
30 2 1  14.771736 15.691900 20.868746
31 2 2  15.847077 15.132628 21.551946
32 2 2  12.799779 15.090232 21.767800
33 2 2  14.451638 14.680791 22.674798
34 2 2  13.581053 12.440765 22.990730
35 2 2  13.780000 11.856347 23.977248
36 2 2  12.844516 12.875547 25.276258
37 2 2  13.019245 12.950861 23.994470
38 2 2  14.014850 11.011761 24.688081
39 2 2  13.804328 12.924825 24.818539
40 2 2  12.818194 13.155248 25.037376
41 3 1  1.348984 17.342144 3.626409
42 3 1  2.243904 17.057900 2.858583
43 3 1  2.093889 16.065282 2.102773
44 3 1  3.089394 16.475535 1.853106
45 3 1  2.217243 16.747049 1.936154
46 3 1  2.961958 16.826808 1.513307
47 3 1  2.410374 17.075710 29.647798
48 3 1  3.410482 17.084081 0.289240
49 3 1  3.300224 19.232519 29.790517
50 3 1  3.815103 20.412433 27.736111
51 3 2  3.246580 19.149146 29.252961
52 3 2  3.667703 18.353238 29.683878
53 3 2  3.928902 17.410584 29.238860
54 3 2  4.796091 15.973153 29.827354
55 3 2  5.729723 15.336122 28.806534
56 3 2  6.703308 16.150159 29.099431
57 3 2  7.800831 14.877809 27.785481
58 3 2  8.594948 16.040526 26.396260
59 3 2  9.110348 14.430725 27.119367
60 3 2  9.316872 15.352978 27.300723
61 4 1  29.416245 21.489807 1.660526
62 4 1  29.824508 21.752199 0.390764
63 4 1  0.306883 20.469722 29.105794
64 4 1  26.830999 21.265385 28.890285
65 4 1  27.562057 22.530815 29.318857
66 4 1  28.387156 23.398415 28.818651
67 4 1  27.921707 22.747914 28.719071
68 4 1  27.432407 23.146528 29.211295
69 4 1  29.745830 23.622073 29.562766
70 4 1  29.186882 24.141723 0.414025
71 4 2  0.364951 22.086046 29.764435
72 4 2  29.831697 22.836925 1.254653
73 4 2  28.258089 24.114986 29.568369
74 4 2  29.030396 25.818270 28.371352
75 4 2  0.193160 26.737928 27.840413
76 4 2  29.913002 26.183284 27.908708
77 4 2  0.648155 25.146512 26.314324
78 4 2  29.747467 27.157239 27.068450
79 4 2  1.051581 26.021833 26.350358
80 4 2  1.043066 26.252651 26.614127
81 5 1  21.253890 10.683210 24.072219
82 5 1  21.784155 10.207707 22.517390
83 5 1  22.106598 12.639446 22.121409
84 5 1  22.112066 12.436013 23.650121
85 5 1  21.994707 12.358160 25.179083
86 5 1  21.787989 11.559147 23.434731
87 5 1  21.485302 11.509480 22.640071
88 5 1  21.484419 10.611859 23.201539
89 5 1  21.495500 10.784746 23.463371
90 5 1  22.357773 10.430215 25.116510
91 5 2  22.369343 9.921340 24.603869
92 5 2  21.814596 8.969773 25.630596
93 5 2  21.184135 8.571785 26.050877
94 5 2  22.496155 7.474160 25.362059
95 5 2  22.021444 5.076908 25.562496
96 5 2  20.290018 5.731377 26.843540
97 5 2  20.115572 4.656604 27.168420
98 5 2  18.737668 4.025015 28.756660
99 5 2  19.951274 5.003094 0.237707
100 5 2  21.161471 4.988644 29.641968
101 6 1  15.898110 22.598872 12.457920
102 6 1  15.062921 22.121730 12.068633
103 6 1  15.312353 22.318642 14.376222
104 6 1  16.502982 24.058614 13.808373
105 6 1  18.242643 22.875620 12.882882
106 6 1  18.724272 21.906232 11.943273
107 6 1  18.433518 23.209671 11.737891
108 6 1  17.538775 23.831530 12.787849
109 6 1  16.382282 24.776078 14.199130
110 6 1  16.584565 23.718118 14.981249
111 6 2  17.517682 23.060543 15.992047
112 6 2  16.028836 22.061684 17.217201
113 6 2  16.928269 22.723686 17.149503
114 6 2  15.807431 22.640125 16.469328
115 6 2  16.484429 23.436990 15.635517
116 6 2  16.620243 23.040910 15.755618
117 6 2  17.322763 23.635924 16.580514
118 6 2  17.177453 23.636805 17.271460
119 6 2  18.066825 25.245908 18.299057
120 6 2  17.109933 26.069847 17.436987
121 7 1  23.112931 2.121722 1.436478
122 7 1  22.317143 2.896502 1.549043
123 7 1  22.886499 5.506467 1.384469
124 7 1  24.151267 4.742920 0.945529
125 7 1  25.876440 5.704702 2.489358
126 7 1  25.294966 5.511730 2.944017
127 7 1  24.832162 6.393717 3.867423
128 7 1  23.534328 6.608426 5.705167
129 7 1  23.928797 8.031435 6.707470
