# step global_step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Charges UDBond
1000 1000 47.4267 0 1.78959e-05 -5.12483e-05 -5.18932e-05 6.70353e-06 4.08136e-06 4.21121e-07  0
2000 2000 4.79128 0 -2.38533e-06 -1.82704e-06 -4.37413e-06 2.92676e-06 -1.50503e-06 -1.60279e-06  0
3000 3000 9.12794 0 -8.60849e-06 -4.35177e-06 -2.5473e-06 -1.77452e-06 2.05579e-06 -5.58888e-06  0
4000 4000 19.6317 0 -6.93403e-06 -2.13371e-05 -7.33463e-06 -2.37102e-06 -1.36175e-05 2.33907e-06  0
5000 5000 8.65371 0 -6.68388e-06 -7.53107e-06 -7.7094e-07 -1.83356e-06 -4.1243e-06 3.48569e-06  0
6000 6000 13.3025 0 -6.84531e-06 -5.0217e-06 -1.08988e-05 7.28103e-06 4.16646e-06 4.73863e-06  0
7000 7000 0.83357 0 -7.83965e-07 8.61306e-08 -7.26479e-07 2.51398e-07 9.73646e-08 3.42498e-07  0
8000 8000 2.99549 0 -1.97548e-06 -3.2361e-06 -8.97309e-08 5.42806e-08 -1.84445e-06 -8.66896e-08  0
9000 9000 0.386927 0 -2.28927e-07 -4.24457e-07 -4.43347e-08 1.63059e-08 2.55917e-07 2.24194e-08  0
10000 10000 1.6291 0 -1.37892e-06 -8.49948e-08 -1.2797e-06 -6.47117e-07 3.13313e-07 -7.0978e-07  0
