# step global_step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Gaussian0 UDBond
1500 1500 20883 4759.77 4.24413 4.26184 4.2559 -0.00121561 -0.0115424 0.0107784  16123.210938 0
3000 3000 20824.4 4676.25 4.24501 4.2295 4.34214 0.0189156 -0.0175988 0.00117087  16148.121094 0
4500 4500 20813 4684.34 4.25272 4.2738 4.28345 -0.0201056 -0.00603065 -0.028752  16128.632812 0
6000 6000 20831.1 4698.67 4.28637 4.25602 4.25783 0.00241833 -0.0361157 0.0370443  16132.403320 0
7500 7500 20784.1 4651.05 4.28868 4.30342 4.23944 -0.00133484 0.00214969 -0.00737791  16133.039062 0
9000 9000 20807.7 4668.91 4.26066 4.27802 4.27366 -0.0252069 0.0043007 -0.0257753  16138.780273 0
10500 10500 20700.1 4584.51 4.30962 4.28389 4.28546 -0.00529342 -0.0268467 -0.0013958  16115.571289 0
12000 12000 20810.6 4668.66 4.26622 4.31915 4.24581 0.0120948 -0.0236701 -0.00799381  16141.905273 0
13500 13500 20896 4763.83 4.23446 4.24239 4.27918 -0.0117583 0.00606811 0.0218436  16132.159180 0
15000 15000 20808.7 4650.86 4.26278 4.29479 4.28454 -0.00741279 0.00927663 -0.036471  16157.827148 0
16500 16500 20790 4667.14 4.26486 4.28905 4.27438 0.0300683 0.00690386 8.69343e-05  16122.855469 0
18000 18000 20912.6 4769.94 4.23345 4.27165 4.25592 0.0106798 -0.0237982 0.0235492  16142.666992 0
19500 19500 20847.8 4727.06 4.26953 4.25858 4.25211 0.025893 0.00201514 -0.00080896  16120.699219 0
21000 21000 20784 4648.28 4.2826 4.30318 4.24695 -0.011883 -0.0220687 -0.0167115  16135.721680 0
22500 22500 20762.1 4646.62 4.29006 4.30356 4.24056 0.00481331 -0.00428359 0.0137742  16115.511719 0
24000 24000 20760.6 4624.87 4.26913 4.29214 4.28936 0.00150995 0.006495 0.0117259  16135.775391 0
25500 25500 20905.5 4769.93 4.25718 4.26732 4.23301 -0.0221711 0.0127857 0.0385249  16135.548828 0
27000 27000 20765.7 4633.23 4.28527 4.29146 4.27218 0.0269504 -0.0261071 -0.00657413  16132.423828 0
28500 28500 20843.4 4705.16 4.27868 4.2814 4.23867 0.0251083 -0.00605963 -0.00593395  16138.266602 0
30000 30000 20748.8 4608.05 4.2974 4.28936 4.26425 0.00381803 -0.0469654 -0.0137791  16140.725586 0
31500 31500 20756.3 4620.65 4.24702 4.34498 4.25563 -0.0038692 0.0238959 0.0220833  16135.655273 0
33000 33000 20765 4640.83 4.28819 4.26967 4.28062 0.00791068 0.00489532 0.04688  16124.131836 0
34500 34500 20703.5 4562.7 4.33775 4.28494 4.27244 -0.0133623 -0.0232681 0.00981436  16140.785156 0
36000 36000 20764.2 4641.39 4.28792 4.26924 4.28187 -0.0126321 0.0195137 0.0306684  16122.790039 0
37500 37500 20897.2 4757.87 4.25138 4.26833 4.23806 -0.0205238 0.0214523 0.00335817  16139.298828 0
39000 39000 20761.6 4642.08 4.29118 4.28328 4.26499 0.00464985 0.0156245 0.0102723  16119.514648 0
40500 40500 20836 4703.47 4.28213 4.23986 4.27166 -0.0104184 0.00962922 0.0240392  16132.500000 0
42000 42000 20830.7 4705.71 4.25876 4.26923 4.27371 -8.36761e-05 0.012414 -0.0111826  16125.018555 0
43500 43500 20852.9 4713.38 4.26468 4.26837 4.25962 -0.0171774 -0.0182293 -0.0140679  16139.494141 0
45000 45000 20793.4 4683.11 4.28819 4.24953 4.28109 -0.0105928 -0.0247548 0.0113998  16110.333008 0
46500 46500 20902 4776.26 4.24652 4.23811 4.25935 -0.00864214 -0.0090248 0.0366971  16125.752930 0
48000 48000 20806.9 4695.32 4.2382 4.29318 4.27502 0.0218157 -0.0147526 -0.0115624  16111.554688 0
49500 49500 20734.5 4608.65 4.32383 4.2687 4.26694 0.0375622 0.0110615 0.00452443  16125.851562 0
51000 51000 20777.2 4644.3 4.29043 4.27419 4.27053 -0.004227 -0.0268073 0.0137047  16132.927734 0
52500 52500 20778.2 4638.6 4.24806 4.26246 4.33483 -0.00787515 0.00191634 4.50284e-05  16139.637695 0
54000 54000 20749.5 4620.5 4.25063 4.29534 4.30546 -0.00705524 0.00811969 0.00381389  16128.997070 0
55500 55500 20864.7 4739.13 4.29045 4.29174 4.19107 -0.00582708 0.0313453 0.018775  16125.619141 0
